171,gumgum,acura,2018-04-10 6:47:00,2018-04-10 7:17:00,0:30,
172,self,update,2018-04-10 7:18:00,2018-04-10 7:35:00,0:17,
173,acc and jb,seo packages,2018-04-10 7:35:00,2018-04-10 11:24:00,3:49,
174,gumgum,jeep,2018-04-11 10:02:00,2018-04-11 11:06:00,1:04,march spending report
175,e360,phone call,2018-04-11 10:15:00,2018-04-11 10:53:00,0:38,publish new nav
176,jkb,windsor,2018-04-11 11:36:00,2018-04-11 12:21:00,0:45,
177,jbyer,bootstrap,2018-04-11 7:15:00,2018-04-11 8:33:00,1:18,
178,gumgum,jeep,2018-04-11 8:33:00,2018-04-11 9:03:00,0:30,
179,ets,call,2018-04-11 9:03:00,2018-04-11 9:34:00,0:31,ETS consider GIT
180,gumgum,acura,2018-04-12 11:12:00,2018-04-12 12:41:00,1:29,
181,e360,website,2018-04-12 6:47:00,2018-04-12 11:12:00,4:25,
182,q2,sales pitch,2018-04-13 12:00:00,2018-04-13 13:14:00,1:14,k
183,self,updates,2018-04-13 15:46:00,2018-04-13 15:51:00,0:05,rebuild sitemap with new info from ppt
184,gumgum,acura,2018-04-13 6:46:00,2018-04-13 7:34:00,0:48,k
185,ets,castate,2018-04-13 7:35:00,2018-04-13 7:41:00,0:06,
186,jkb,hilmar,2018-04-13 7:42:00,2018-04-13 7:56:00,0:14,
187,jbyer,bootstrap,2018-04-13 8:55:00,2018-04-13 15:45:00,6:50,k
188,ami,seo,2018-04-13 9:30:00,2018-04-13 10:48:00,1:18,
189,gumgum,acura,2018-04-16 6:38:00,2018-04-16 15:48:00,9:10,
190,gumgum,mitsubishi,2018-04-17 13:45:00,2018-04-17 13:56:00,0:11,
191,gumgum,toyota,2018-04-17 13:56:00,2018-04-17 14:23:00,0:27,
192,ami,seo,2018-04-17 14:28:00,2018-04-17 14:56:00,0:28,
193,gumgum,mitsubishi,2018-04-17 15:02:00,2018-04-17 15:31:00,0:29,
194,gumgum,acura,2018-04-17 6:54:00,2018-04-17 13:13:00,6:19,
195,gumgum,acura,2018-04-18 10:34:00,2018-04-18 12:29:00,1:55,
196,e360,website,2018-04-18 6:59:00,2018-04-18 7:39:00,0:40,
197,evk,website,2018-04-18 7:49:00,2018-04-18 10:18:00,2:29,
198,gumgum,jeep,2018-04-18 8:42:00,2018-04-18 8:46:00,0:04,
199,svr,careers,2018-04-19 12:29:00,2018-04-19 12:56:00,0:27,
200,ami,business cards,2018-04-19 12:58:00,2018-04-19 13:06:00,0:08,
201,nardiello,website,2018-04-19 13:07:00,2018-04-19 13:31:00,0:24,
202,JKB,stretscape and windsor video,2018-04-19 13:32:00,2018-04-19 13:56:00,0:24,
203,evk,sergio,2018-04-19 13:56:00,2018-04-19 14:21:00,0:25,
204,ami,business cards,2018-04-19 14:13:00,2018-04-19 14:19:00,0:06,
205,nardiello,change name,2018-04-19 14:21:00,2018-04-19 14:41:00,0:20,
